"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"62721","51276-47-2","Organics, Pesticides","Organics, Pesticides","Glufosinate, w,gf<.7u","ug/l","Glufosinate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter","Water","Dissolved","","","","",""
"62722","1071-83-6","Organics, Pesticides","Organics, Pesticides","Glyphosate, w,gf<.7u","ug/l","Glyphosate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter","Water","Dissolved","","","","",""
"62976","7439-97-6","Major and Trace Elements","Major and Trace Elements","Mercury, ss, total","ng/l","Mercury, suspended sediment, total, nanograms per liter","Water","Suspended","","","","",""
"62977","22967-92-6","Major and Trace Elements","Major and Trace Elements","Methylmercury, ss, total","ng/l","Methylmercury, suspended sediment, total, nanograms per liter","Water","Suspended","","","","",""
"00004","","Stream Measurements","Stream Measurements","Stream width","ft","Stream width, feet","","","","","","",""
"84171","","Sample Information","Sample Information","Sample splitter type","code","Sample splitter type, field, code","","","","","","",""
"00061","","Stream Measurements","Stream Measurements","Discharge, instant.","ft3/s","Discharge, instantaneous, cubic feet per second","Water","","","","","",""
"04254","57837-19-1","Organics, Pesticides","Organics, Pesticides","Metalaxyl, wu","ug/l","Metalaxyl, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"30194","91-57-6","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","2-Methylnaphthalene, wu","ug/l","2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"30218","62-73-7","Organics, Pesticides","Organics, Pesticides","Dichlorvos, wu","ug/l","Dichlorvos, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"30234","314-40-9","Organics, Pesticides","Organics, Pesticides","Bromacil, wu","ug/l","Bromacil, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"32104","75-25-2","Organics, VOCs","Organics, VOCs","Tribromomethane, wu","ug/l","Tribromomethane, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34220","120-12-7","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Anthracene, wu","ug/l","Anthracene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34247","50-32-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[a]pyrene, wu","ug/l","Benzo[a]pyrene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34336","84-66-2","Organics, Industrial","Organics, Industrial","Diethyl phthalate, wu","ug/l","Diethyl phthalate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34376","206-44-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Fluoranthene, wu","ug/l","Fluoranthene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34408","78-59-1","Organics, VOCs","Organics, VOCs","Isophorone, wu","ug/l","Isophorone, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34461","85-01-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Phenanthrene, wu","ug/l","Phenanthrene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34469","129-00-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Pyrene, wu","ug/l","Pyrene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34475","127-18-4","Organics, VOCs","Organics, VOCs","Tetrachloroethene, wu","ug/l","Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34571","106-46-7","Organics, Pesticides","Organics, Pesticides","1,4-Dichlorobenzene, wu","ug/l","1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34694","108-95-2","Organics, Industrial","Organics, Industrial","Phenol, wu","ug/l","Phenol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34696","91-20-3","Organics, VOCs","Organics, VOCs","Naphthalene, wu","ug/l","Naphthalene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"38932","2921-88-2","Organics, Pesticides","Organics, Pesticides","Chlorpyrifos, wu","ug/l","Chlorpyrifos, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39032","87-86-5","Organics, Pesticides","Organics, Pesticides","Pentachlorophenol, wu","ug/l","Pentachlorophenol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39056","1610-18-0","Organics, Pesticides","Organics, Pesticides","Prometon, wu","ug/l","Prometon, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39100","117-81-7","Organics, Industrial","Organics, Industrial","Bis(2-ethylhexyl)phthalate,wu","ug/l","Bis(2-ethylhexyl) phthalate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39570","333-41-5","Organics, Pesticides","Organics, Pesticides","Diazinon, wu","ug/l","Diazinon, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39630","1912-24-9","Organics, Pesticides","Organics, Pesticides","Atrazine, wu","ug/l","Atrazine, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39750","63-25-2","Organics, Pesticides","Organics, Pesticides","Carbaryl, wu","ug/l","Carbaryl, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"52814","97825-25-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Ractopamine, wf","ng/l","Ractopamine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"52815","100-97-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hexamethylenetetramine, wf","ng/l","Hexamethylenetetramine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"52816","141-83-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Guanylurea, wf","ng/l","Guanylurea, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"52817","60142-96-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Gabapentin, wf","ng/l","Gabapentin, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"61702","121-00-6","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","3-t-Butyl-4-hydroxyanisole,wu","ug/l","3-tert-Butyl-4-hydroxyanisole, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61703","20427-84-3","Organics, Industrial","Organics, Industrial","4-Nonylphenol diethoxylate,wu","ug/l","4-Nonylphenol diethoxylate (sum of all isomers), water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61704","104-35-8","Organics, Industrial","Organics, Industrial","4-Nonylphenol monoethoxylate","ug/l","4-Nonylphenol monoethoxylate (sum of all isomers), water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61707","13674-87-8","Organics, Industrial","Organics, Industrial","FYROL FR 2, wu","ug/l","Tris(dichloroisopropyl) phosphate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61708","3380-34-5","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Triclosan, wu","ug/l","Triclosan, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61944","136-85-6","Organics, Industrial","Organics, Industrial","5-Methyl-1H-benzotriazole, wu","ug/l","5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61945","486-56-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Cotinine, wu","ug/l","Cotinine, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61947","134-62-3","Organics, Pesticides","Organics, Pesticides","N,N-Diethyl-m-toluamide, wu","ug/l","N,N-Diethyl-m-toluamide (DEET), water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61948","19466-47-8","Organics, Hormones","Organics, Hormones","beta-Stigmastanol, wu","ug/l","beta-Stigmastanol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62485","2315-67-5","Organics, Industrial","Organics, Industrial","4-t-Octylphenolmonoethoxylate","ug/l","4-tert-Octylphenol monoethoxylate, water, unfiltered, recoverable, micrograms per liter","Water","Total","","","","",""
"62486","2315-61-9","Organics, Industrial","Organics, Industrial","4-t-Octylphenol diethoxylate","ug/l","4-tert-Octylphenol diethoxylate, water, unfiltered, recoverable, micrograms per liter","Water","Total","","","","",""
"62805","581-42-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","2,6-Dimethylnaphthalene, wu","ug/l","2,6-Dimethylnaphthalene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62806","360-68-9","Organics, Hormones","Organics, Hormones","3-beta-Coprostanol, wu","ug/l","3-beta-Coprostanol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62807","83-34-1","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","3-Methyl-1H-indole, wu","ug/l","3-Methyl-1H-indole, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62808","599-64-4","Organics, Industrial","Organics, Industrial","4-Cumylphenol, wu","ug/l","4-Cumylphenol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62809","1806-26-4","Organics, Industrial","Organics, Industrial","4-n-Octylphenol, wu","ug/l","4-n-Octylphenol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62810","140-66-9","Organics, Industrial","Organics, Industrial","4-tert-Octylphenol, wu","ug/l","4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62811","98-86-2","Organics, VOCs","Organics, VOCs","Acetophenone, wu","ug/l","Acetophenone, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62812","21145-77-7","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","AHTN, wu","ug/l","Acetyl hexamethyl tetrahydro naphthalene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62813","84-65-1","Organics, Industrial","Organics, Industrial","9,10-Anthraquinone, wu","ug/l","9,10-Anthraquinone, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62814","119-61-9","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Benzophenone, wu","ug/l","Benzophenone, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62815","83-46-5","Organics, Hormones","Organics, Hormones","beta-Sitosterol, wu","ug/l","beta-Sitosterol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62816","80-05-7","Organics, Hormones","Organics, Hormones","Bisphenol A, wu","ug/l","Bisphenol A, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62817","76-22-2","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Camphor, wu","ug/l","Camphor, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62818","57-88-5","Organics, Hormones","Organics, Hormones","Cholesterol, wu","ug/l","Cholesterol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62819","5989-27-5","Organics, VOCs","Organics, VOCs","D-Limonene, wu","ug/l","D-Limonene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62823","1222-05-5","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","HHCB, wu","ug/l","Hexahydrohexamethyl cyclopentabenzopyran, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62824","120-72-9","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Indole, wu","ug/l","Indole, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62825","124-76-5","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Isoborneol, wu","ug/l","Isoborneol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62826","119-65-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Isoquinoline, wu","ug/l","Isoquinoline, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62827","89-78-1","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Menthol, wu","ug/l","Menthol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62828","119-36-8","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Methyl salicylate, wu","ug/l","Methyl salicylate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62829","","Organics, Industrial","Organics, Industrial","4-Nonylphenol (all isomers)","ug/l","4-Nonylphenol (sum of all isomers), water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62830","78-51-3","Organics, Industrial","Organics, Industrial","TBEP, wu","ug/l","Tris(2-butoxyethyl) phosphate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62831","115-96-8","Organics, Industrial","Organics, Industrial","Chloroethylphosphate","ug/l","Tris(2-chloroethyl) phosphate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62832","126-73-8","Organics, Industrial","Organics, Industrial","Tributyl phosphate, wu","ug/l","Tributyl phosphate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62833","77-93-0","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Triethyl citrate, wu","ug/l","Triethyl citrate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"62834","115-86-6","Organics, Industrial","Organics, Industrial","Triphenyl phosphate, wu","ug/l","Triphenyl phosphate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"63145","102-36-3","Organics, Industrial","Organics, Industrial","3,4-Dichlorophenyl isocyanate","ug/l","3,4-Dichlorophenyl isocyanate, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"63147","5436-43-1","Organics, Industrial","Organics, Industrial","BDE 47, wu","ug/l","BDE congener 47, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"67434","68-22-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Norethindrone, w,f<0.2um","ng/l","Norethindrone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67435","51-03-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Piperonyl butoxide, w,f<0.2um","ng/l","Piperonyl butoxide, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67436","103-90-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Acetaminophen, w,f<0.2um","ng/l","Acetaminophen, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67437","18559-94-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Albuterol, w,f<0.2um","ng/l","Albuterol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67439","34911-55-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Bupropion, w,f<0.2um","ng/l","Bupropion, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67440","58-08-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Caffeine, w,f<0.2um","ng/l","Caffeine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67441","298-46-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Carbamazepine, w,f<0.2um","ng/l","Carbamazepine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67442","51481-61-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Cimetidine, w,f<0.2um","ng/l","Cimetidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67443","76-57-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Codeine, w,f<0.2um","ng/l","Codeine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67444","486-56-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Cotinine, w,f<0.2um","ng/l","Cotinine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67445","67035-22-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Dehydronifedipine, w,f<0.2um","ng/l","Dehydronifedipine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67446","611-59-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Dimethylxanthine, w,f<0.2um","ng/l","1,7-Dimethylxanthine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67447","58-73-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Diphenhydramine, w,f<0.2um","ng/l","Diphenhydramine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67448","116539-59-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Duloxetine, w,f<0.2um","ng/l","Duloxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67449","114-07-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Erythromycin, w,f<0.2um","ng/l","Erythromycin, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67450","54910-89-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fluoxetine, w,f<0.2um","ng/l","Fluoxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67451","83891-03-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Norfluoxetine, w,f<0.2um","ng/l","Norfluoxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67452","66357-35-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Ranitidine, w,f<0.2um","ng/l","Ranitidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67454","723-46-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sulfamethoxazole, w,f<0.2um","ng/l","Sulfamethoxazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67455","148-79-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Thiabendazole, w,f<0.2um","ng/l","Thiabendazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67456","738-70-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Trimethoprim, w,f<0.2um","ng/l","Trimethoprim, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67457","81-81-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Warfarin, w,f<0.2um","ng/l","Warfarin, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67458","57-27-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Morphine, w,f<0.2um","ng/l","Morphine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67459","50-23-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hydrocortisone, w,f<0.2um","ng/l","Hydrocortisone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67460","","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Pseudoephed+Ephedrin,wf<0.2um","ng/l","Pseudoephedrine + Ephedrine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67461","300-62-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Amphetamine, w,f<0.2um","ng/l","Amphetamine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67462","137-58-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Lidocaine, w,f<0.2um","ng/l","Lidocaine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67464","57-53-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Meprobamate, w,f<0.2um","ng/l","Meprobamate, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67466","57-41-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Phenytoin, w,f<0.2um","ng/l","Phenytoin, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67467","53-03-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Prednisone, w,f<0.2um","ng/l","Prednisone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
